CHA  0.004  S    6.95   -4.840   -2.488   -0.830    0.154    0.141    0.368    0.483    0.648    0.906    0.977    1.162    0.292    0.595    1.015    1.409    1.676
CHA  0.004  S    6.97   -4.826   -2.477   -0.822    0.159    0.146    0.372    0.485    0.649    0.903    0.970    1.152    0.300    0.600    1.018    1.411    1.677
CHA  0.004  S    6.98   -4.848   -2.500   -0.847    0.134    0.121    0.346    0.459    0.622    0.875    0.941    1.123    0.276    0.574    0.992    1.384    1.650
CHA  0.004  S    6.99   -4.870   -2.523   -0.871    0.109    0.097    0.321    0.434    0.596    0.847    0.912    1.093    0.252    0.550    0.967    1.358    1.623
CHA  0.004  S    7.00   -4.954   -2.603   -0.945    0.040    0.027    0.252    0.366    0.529    0.782    0.847    1.029    0.177    0.480    0.899    1.291    1.557
CHA  0.004  S    7.04   -4.910   -2.565   -0.907    0.079    0.066    0.291    0.404    0.568    0.823    0.891    1.075    0.215    0.520    0.937    1.330    1.595
CHA  0.004  S    7.08   -4.858   -2.525   -0.885    0.084    0.072    0.288    0.394    0.546    0.784    0.840    1.015    0.241    0.521    0.930    1.314    1.569
CHA  0.004  S    7.11   -4.764   -2.444   -0.823    0.128    0.116    0.322    0.417    0.552    0.763    0.799    0.962    0.306    0.561    0.957    1.328    1.569
CHA  0.004  S    7.15   -4.554   -2.251   -0.660    0.268    0.257    0.441    0.510    0.608    0.749    0.714    0.846    0.473    0.693    1.061    1.399    1.615
CHA  0.004  S    7.18   -4.455   -2.160   -0.576    0.350    0.339    0.522    0.590    0.683    0.811    0.752    0.874    0.558    0.775    1.141    1.477    1.689
CHA  0.004  S    7.20   -4.536   -2.237   -0.639    0.303    0.291    0.480    0.553    0.654    0.794    0.743    0.870    0.492    0.729    1.102    1.445    1.663
CHA  0.004  S    7.23   -4.722   -2.423   -0.813    0.141    0.129    0.322    0.399    0.507    0.657    0.615    0.746    0.316    0.569    0.947    1.294    1.518
CHA  0.004  S    7.26   -4.627   -2.330   -0.727    0.219    0.208    0.397    0.471    0.573    0.712    0.659    0.785    0.403    0.646    1.020    1.363    1.582
CHA  0.004  S    7.28   -4.579   -2.284   -0.687    0.254    0.243    0.430    0.501    0.598    0.726    0.661    0.782    0.445    0.681    1.052    1.390    1.605
CHA  0.004  S    7.30   -4.360   -2.066   -0.484    0.439    0.428    0.605    0.664    0.741    0.837    0.743    0.852    0.650    0.862    1.219    1.542    1.744
