log_age	Z	fraccion_M_star
9.9	0.004	0.5701302182225477
9.95	0.004	0.5600949593943064
10.0	0.004	0.550459335255223
10.04	0.004	0.5424699535297027
10.08	0.004	0.5342432360972348
10.11	0.004	0.528071943512325
10.12	0.004	0.5261512216585672
10.13	0.004	0.5242156626375251
10.14	0.004	0.5222635673322786
10.15	0.004	0.5203010741198267
10.18	0.004	0.5143128488816379
5.0	0.008	0.9988983133653396
5.48	0.008	0.9988418844263005
5.7	0.008	0.998779545052797
5.85	0.008	0.9987156131931855
6.0	0.008	0.9986168706605157
6.1	0.008	0.9985065536417628
6.18	0.008	0.9984232305559749
6.24	0.008	0.9983285567772675
6.3	0.008	0.9981212205428209
6.35	0.008	0.9979335926584275
6.4	0.008	0.9975119048948854
6.44	0.008	0.9969457528418617
6.48	0.008	0.9964744871402297
6.51	0.008	0.9959096046493408
6.54	0.008	0.9942188678615154
6.57	0.008	0.9926101601171181
6.6	0.008	0.9902000052191067
6.63	0.008	0.9880828111034223
6.65	0.008	0.9868008056484926
6.68	0.008	0.9846680581532883
6.7	0.008	0.9832391239646098
6.72	0.008	0.981972252441035
6.74	0.008	0.9803493828350424
6.76	0.008	0.9788870111559542
6.78	0.008	0.9778553935158913
6.81	0.008	0.975637745401527
6.85	0.008	0.9734472900618406
6.86	0.008	0.9730831502008753
6.88	0.008	0.971602813720447
6.89	0.008	0.9708475021919324
6.9	0.008	0.9704652905771906
6.92	0.008	0.9689091977378452
6.93	0.008	0.9681128334659996
6.94	0.008	0.967303168170945
6.95	0.008	0.9664798941271512
6.97	0.008	0.964788942317837
6.98	0.008	0.9639199354419954
6.99	0.008	0.962584846639021
7.0	0.008	0.9616724848459028
7.04	0.008	0.9589799012719791
7.08	0.008	0.9564627011099042
7.11	0.008	0.9541575555992492
7.15	0.008	0.9510095652470714
7.18	0.008	0.9484587831363167
7.2	0.008	0.9471604403813588
7.23	0.008	0.9449315652022156
7.26	0.008	0.942692327399139
7.28	0.008	0.9410024308056565
7.3	0.008	0.9393007291754076
7.34	0.008	0.9361411498989678
7.38	0.008	0.93334881757415
7.41	0.008	0.9311031084830097
7.45	0.008	0.9278103767144259
7.48	0.008	0.925174645817061
7.51	0.008	0.922264411407617
7.53	0.008	0.9202691912294123
7.56	0.008	0.9178483824304547
7.58	0.008	0.916341862975517
7.6	0.008	0.9147607914980225
7.62	0.008	0.9131049032447345
7.64	0.008	0.9113747569236927
7.66	0.008	0.9096551346171672
7.68	0.008	0.9077738971395728
7.7	0.008	0.9059000791703284
7.74	0.008	0.9017435665466915
7.78	0.008	0.8981118750580008
7.81	0.008	0.8954226704910687
7.85	0.008	0.8916069393542444
7.87	0.008	0.8895994432119038
7.9	0.008	0.8866008448154828
7.93	0.008	0.8838796413540626
7.95	0.008	0.8819987737607947
7.98	0.008	0.8797744778716596
8.0	0.008	0.877719444445853
8.3	0.008	0.8452143007099795
8.48	0.008	0.826940768891407
8.6	0.008	0.8115002919763182
8.7	0.008	0.7990183301072372
8.78	0.008	0.7887004322534654
8.85	0.008	0.7786465115645634
8.9	0.008	0.7717150776219036
8.95	0.008	0.7645173753014217
9.0	0.008	0.7567952758044082
9.18	0.008	0.705037386678581
9.3	0.008	0.6786193522293217
9.4	0.008	0.6611588597833403
9.48	0.008	0.6464884545662312
9.54	0.008	0.6476910431428279
9.6	0.008	0.6361009372582501
9.65	0.008	0.6286931992502969
9.7	0.008	0.6209260266093822
9.74	0.008	0.6143700669941827
9.78	0.008	0.6074827626851314
9.81	0.008	0.6021261205219419
9.85	0.008	0.5947164360266296
9.9	0.008	0.5850290493394885
9.95	0.008	0.5751809537188702
10.0	0.008	0.5654455666991329
10.04	0.008	0.5578591779173067
10.08	0.008	0.5502224051557499
10.11	0.008	0.5443423457039672
10.12	0.008	0.5423549837719305
10.13	0.008	0.5403536476104198
10.14	0.008	0.5383365010242317
10.15	0.008	0.5363042511579484
10.18	0.008	0.5301029006501352
5.0	0.02	0.9988655326525029
5.48	0.02	0.9987438835158249
5.7	0.02	0.998621610860086
5.85	0.02	0.9984936519427559
6.0	0.02	0.9982742595695523
6.1	0.02	0.9980014150507585
6.18	0.02	0.9977721772562093
6.24	0.02	0.9974968555874569
6.3	0.02	0.9970208972269904
6.35	0.02	0.9966434112703497
6.4	0.02	0.9959815405998204
6.44	0.02	0.9951897388123203
6.48	0.02	0.99456040923955
6.51	0.02	0.993428190308416
6.54	0.02	0.9910831294918916
6.57	0.02	0.9892588012229988
6.6	0.02	0.9870857624698135
6.63	0.02	0.9848873277377714
6.65	0.02	0.9834047635523897
6.68	0.02	0.9815498464746626
6.7	0.02	0.9806226213372121
6.72	0.02	0.9796839212093419
6.74	0.02	0.9779517305126914
6.76	0.02	0.9762860361992675
6.78	0.02	0.9755877027795717
6.81	0.02	0.9735829229469233
6.85	0.02	0.9710736524527324
6.86	0.02	0.9706430065133262
6.88	0.02	0.9688818686684298
6.89	0.02	0.9679757270350439
6.9	0.02	0.9675162849706368
6.92	0.02	0.9656311986089003
6.93	0.02	0.9646581936195774
6.94	0.02	0.9636633045662386
6.95	0.02	0.9626455115107162
6.97	0.02	0.960859490115705
6.98	0.02	0.9602901144843614
6.99	0.02	0.9594323809952032
7.0	0.02	0.9588578916138061
7.04	0.02	0.9559475610619641
7.08	0.02	0.9529600045426551
7.11	0.02	0.9501897138569172
7.15	0.02	0.9472350199921393
7.18	0.02	0.9451832075866663
7.2	0.02	0.9437433228439188
7.23	0.02	0.9412621573825165
7.26	0.02	0.9387584196174601
7.28	0.02	0.9369868416713034
7.3	0.02	0.9357216052324236
7.34	0.02	0.9330792202768399
7.38	0.02	0.9301915648450058
7.41	0.02	0.9278694778471468
7.45	0.02	0.9244658277686494
7.48	0.02	0.9217424397813422
7.51	0.02	0.9189689252221132
7.53	0.02	0.9176024374146792
7.56	0.02	0.915447329701615
7.58	0.02	0.9139402072396287
7.6	0.02	0.9123597193889066
7.62	0.02	0.9107058675623044
7.64	0.02	0.9089800792370011
7.66	0.02	0.907266168745594
7.68	0.02	0.9053924353020845
7.7	0.02	0.903528658062105
7.74	0.02	0.8997119952112517
7.78	0.02	0.8963995897903989
7.81	0.02	0.8937646139731713
7.85	0.02	0.890034441565982
7.87	0.02	0.8880755626966222
7.9	0.02	0.886080412878351
7.93	0.02	0.8835101810783589
7.95	0.02	0.8817383654306019
7.98	0.02	0.878952596012725
8.0	0.02	0.8770242897996745
8.3	0.02	0.8471315222648992
8.48	0.02	0.8298652072108665
8.6	0.02	0.8161829560961358
8.7	0.02	0.8031963003110543
8.78	0.02	0.7936748437067528
8.85	0.02	0.784458219579047
8.9	0.02	0.7773228304130834
8.95	0.02	0.7709917541679594
9.0	0.02	0.7633970464361136
9.18	0.02	0.7153333460350804
9.3	0.02	0.6924383103322704
9.4	0.02	0.6755302769958109
9.48	0.02	0.6620745003342833
9.54	0.02	0.6520493801634063
9.6	0.02	0.6524214344743302
9.65	0.02	0.6428764249278344
9.7	0.02	0.6339995811900674
9.74	0.02	0.6270181700446343
9.78	0.02	0.6197219855678057
9.81	0.02	0.6147251992537158
9.85	0.02	0.6082722478789873
9.9	0.02	0.5998462532392572
9.95	0.02	0.5910988942512759
10.0	0.02	0.582168563771866
10.04	0.02	0.5746891961109994
10.08	0.02	0.5668954664621078
10.11	0.02	0.5611159217958379
10.12	0.02	0.5592806682732258
10.13	0.02	0.5574305207967478
10.14	0.02	0.5555673728523088
10.15	0.02	0.5536904304746326
10.18	0.02	0.5479688048646326
5.0	0.05	0.9974774314178848
5.48	0.05	0.9970267259096354
5.7	0.05	0.9965760256011015
5.85	0.05	0.9961609704645576
6.0	0.05	0.9954943808288036
6.1	0.05	0.9947767748943168
6.18	0.05	0.9942424570756361
6.24	0.05	0.9936665667251677
6.3	0.05	0.9927188039961385
6.35	0.05	0.9919761175138935
6.4	0.05	0.9905847732121105
6.44	0.05	0.9884080276215915
6.48	0.05	0.9867780225380194
6.51	0.05	0.9852108631205806
6.54	0.05	0.9828067632646801
6.57	0.05	0.9809759673980057
6.6	0.05	0.9795109934041493
6.63	0.05	0.9781447784629291
6.65	0.05	0.9772936618620912
6.68	0.05	0.9760958639560775
6.7	0.05	0.975559187278211
6.72	0.05	0.9752421190141097
6.74	0.05	0.9750011803280338
6.76	0.05	0.972767637861313
6.78	0.05	0.9711198414048252
6.81	0.05	0.9665562351648624
6.85	0.05	0.960820960697282
6.86	0.05	0.960425537442395
6.88	0.05	0.9588309895096317
6.89	0.05	0.9580252729140936
6.9	0.05	0.9576201507060608
6.92	0.05	0.955983045761231
6.93	0.05	0.9551538689467105
6.94	0.05	0.9543170650383412
6.95	0.05	0.953472234474972
6.97	0.05	0.9517565728959111
6.98	0.05	0.9508850722926098
