log_age	Z	fraccion_M_star
10.18	0.004	0.583067431736463
5.00	0.008	0.9992610177950701
5.48	0.008	0.999234656643272
5.70	0.008	0.9992056627201251
5.85	0.008	0.9991759249261986
6.00	0.008	0.9991301019600792
6.10	0.008	0.9990791317903035
6.18	0.008	0.9990406786286908
6.24	0.008	0.998997165674934
6.30	0.008	0.9989040924207225
6.35	0.008	0.9988207157666081
6.40	0.008	0.9986353954758066
6.44	0.008	0.9983862915261377
6.48	0.008	0.9981779677864088
6.51	0.008	0.9979274136554983
6.54	0.008	0.9971898502295317
6.57	0.008	0.9964784649989195
6.60	0.008	0.9953842532553016
6.63	0.008	0.9943911465076013
6.65	0.008	0.9937735239803053
6.68	0.008	0.9927252905625339
6.70	0.008	0.992009881019872
6.72	0.008	0.991368334392633
6.74	0.008	0.9905321449796793
6.76	0.008	0.9897661335795673
6.78	0.008	0.9892189509038546
6.81	0.008	0.988028233687221
6.85	0.008	0.9868283569028857
6.86	0.008	0.9866268635128831
6.88	0.008	0.9858018010189193
6.89	0.008	0.985377549069689
6.90	0.008	0.9851621440410487
6.92	0.008	0.9842782932094098
6.93	0.008	0.9838222274994908
6.94	0.008	0.9833561229991563
6.95	0.008	0.9828794915735024
6.97	0.008	0.981892814919935
6.98	0.008	0.9813816881516582
6.99	0.008	0.9805908595241378
7.00	0.008	0.980046825783672
7.04	0.008	0.978424391813123
7.08	0.008	0.9768853376460858
7.11	0.008	0.9754576000911632
7.15	0.008	0.9734805546894315
7.18	0.008	0.9718561732966071
7.20	0.008	0.9710220140619205
7.23	0.008	0.9695784077576127
7.26	0.008	0.9681139119522106
7.28	0.008	0.9669991735123711
7.30	0.008	0.9658689029496643
7.34	0.008	0.963749416498963
7.38	0.008	0.9618548972933931
7.41	0.008	0.9603167287237365
7.45	0.008	0.9580386878343137
7.48	0.008	0.9561967791169687
7.51	0.008	0.9541440653498184
7.53	0.008	0.9527255387243907
7.56	0.008	0.9509925910868536
7.58	0.008	0.9499076234609158
