log_age	Z	fraccion_M_star
7.93	0.004	0.5710205106512521
7.95	0.004	0.5659181798367215
7.98	0.004	0.5579282728675753
8.00	0.004	0.552427527332543
8.30	0.004	0.4732654315425174
8.48	0.004	0.4261930533027914
8.60	0.004	0.3912650860340142
8.70	0.004	0.36603451128467496
8.78	0.004	0.3436075391195045
8.85	0.004	0.32556659428288864
8.90	0.004	0.31222245555774564
8.95	0.004	0.2980916749235912
9.00	0.004	0.2831168250078914
9.18	0.004	0.2110571028600937
9.30	0.004	0.1734792142796995
9.40	0.004	0.14531297873210441
9.48	0.004	0.12164228406489813
9.54	0.004	0.10195054085754299
9.60	0.004	0.08652921749478075
9.65	0.004	0.07325105710064563
9.70	0.004	0.06060948727546476
9.74	0.004	0.05104685124012146
9.78	0.004	0.041693391925253315
9.81	0.004	0.0332398186444023
9.85	0.004	0.02266562462342689
9.90	0.004	0.009360636283781969
5.00	0.008	0.9997463699092453
5.48	0.008	0.999421608162465
5.70	0.008	0.9990606112410996
5.85	0.008	0.998690505282132
6.00	0.008	0.9981168935931576
6.10	0.008	0.9974722010819709
6.18	0.008	0.9969844673516589
6.24	0.008	0.9964266961120513
6.30	0.008	0.9951610734722794
6.35	0.008	0.9940004752322066
6.40	0.008	0.9913539899626959
6.44	0.008	0.9878161797221092
6.48	0.008	0.9848894387441219
6.51	0.008	0.9814052571635187
6.54	0.008	0.9707116313644565
6.57	0.008	0.9607383953215978
6.60	0.008	0.9464214980722735
6.63	0.008	0.9344111785655266
6.65	0.008	0.9274251109377198
6.68	0.008	0.9161406439435917
6.70	0.008	0.9087840189819042
6.72	0.008	0.9023749552021237
6.74	0.008	0.8943736466499645
6.76	0.008	0.8873399556315856
6.78	0.008	0.8824635754720147
6.81	0.008	0.8721740004393331
6.85	0.008	0.8623180788718062
6.86	0.008	0.8607042936539584
6.88	0.008	0.8542128444029933
6.89	0.008	0.8509405908934796
6.90	0.008	0.8492973035976463
6.92	0.008	0.8426685017796604
6.93	0.008	0.8393169894871763
6.94	0.008	0.8359381142025752
6.95	0.008	0.8325301196251345
6.97	0.008	0.8256168981413946
6.98	0.008	0.8221074070180203
6.99	0.008	0.816770911866621
7.00	0.008	0.8131615014177842
7.04	0.008	0.8026805422622829
7.08	0.008	0.7931002302150193
7.11	0.008	0.784499603902845
7.15	0.008	0.7730055247853806
7.18	0.008	0.7638911726652055
7.20	0.008	0.75931793489012
7.23	0.008	0.751564683685068
7.26	0.008	0.7438953301781274
7.28	0.008	0.7381826285285835
7.30	0.008	0.7324936505601538
7.34	0.008	0.722094612091526
7.38	0.008	0.7130728435100794
7.41	0.008	0.7059249996484517
7.45	0.008	0.6956120551862459
7.48	0.008	0.687493070098693
7.51	0.008	0.6786632258759563
7.53	0.008	0.6726866441215298
7.56	0.008	0.6655183012162423
7.58	0.008	0.6611012529014778
7.60	0.008	0.6565016335339954
7.62	0.008	0.6517249610261341
7.64	0.008	0.6467702264342121
7.66	0.008	0.6418876635218267
7.68	0.008	0.6365880007189341
7.70	0.008	0.6313593670101132
7.74	0.008	0.6199090675401585
7.78	0.008	0.6100684788444704
7.81	0.008	0.6028852751353992
7.85	0.008	0.5928207962793933
7.87	0.008	0.5875882109344414
7.90	0.008	0.5798468443995191
7.93	0.008	0.5728991048853213
7.95	0.008	0.5681395110606319
7.98	0.008	0.5607351636458557
8.00	0.008	0.5556164207093899
8.30	0.008	0.47932006014748463
8.48	0.008	0.43741275834063914
8.60	0.008	0.4052678839813437
8.70	0.008	0.3801685454745957
8.78	0.008	0.35995811971680647
8.85	0.008	0.3407148417599738
8.90	0.008	0.32766784296082446
8.95	0.008	0.3143215686674861
9.00	0.008	0.30019520196468236
9.18	0.008	0.23155347187022046
9.30	0.008	0.1878938322534866
9.40	0.008	0.1600030983724894
9.48	0.008	0.13710544679542142
9.54	0.008	0.11950465268162383
9.60	0.008	0.1019899463712587
9.65	0.008	0.09093068846521253
9.70	0.008	0.07944561259639832
9.74	0.008	0.06983923746304498
9.78	0.008	0.06214669836263684
9.81	0.008	0.05097522351096009
9.85	0.008	0.04219327091304253
9.90	0.008	0.028463751985008903
9.95	0.008	0.015898601511306624
10.00	0.008	0.0030585211552451824
5.00	0.02	0.999554927900967
5.48	0.02	0.9988520270857125
5.70	0.02	0.9981449852122181
5.85	0.02	0.9974011666370646
6.00	0.02	0.996114612027876
6.10	0.02	0.9944912111681438
6.18	0.02	0.9931029492582131
6.24	0.02	0.9914209759719055
6.30	0.02	0.9885250803086176
6.35	0.02	0.9862306276863924
6.40	0.02	0.9822248524945061
6.44	0.02	0.9774626354792081
6.48	0.02	0.9736809883347144
6.51	0.02	0.9666002621311384
6.54	0.02	0.952270994814747
6.57	0.02	0.9415656932099907
6.60	0.02	0.9293367608694785
6.63	0.02	0.9175215400229411
6.65	0.02	0.9098089636768221
6.68	0.02	0.900411971006495
6.70	0.02	0.8958176958629347
6.72	0.02	0.8912519380256119
6.74	0.02	0.8829801307540558
6.76	0.02	0.8751918470495994
6.78	0.02	0.8719512131023551
6.81	0.02	0.8629203654423709
6.85	0.02	0.851916136088064
6.86	0.02	0.8500593089791002
6.88	0.02	0.8425500624546589
6.89	0.02	0.8387433576395028
6.90	0.02	0.8368242507081507
6.92	0.02	0.829044649224056
6.93	0.02	0.8250854304185791
6.94	0.02	0.821075158878809
6.95	0.02	0.817010593301385
6.97	0.02	0.8099695472916868
6.98	0.02	0.8077483350593258
6.99	0.02	0.8044235431396678
7.00	0.02	0.8022102993683008
7.04	0.02	0.791162961384727
7.08	0.02	0.7800929693494263
7.11	0.02	0.7700557858951061
7.15	0.02	0.7595785479134202
7.18	0.02	0.7524324678958755
7.20	0.02	0.7474786890010072
7.23	0.02	0.7390552813652905
7.26	0.02	0.7306926435521113
7.28	0.02	0.7248564943598725
7.30	0.02	0.7207279641928389
7.34	0.02	0.7122083469116759
7.38	0.02	0.7030492090383443
7.41	0.02	0.6957944559626611
7.45	0.02	0.6853286547255625
7.48	0.02	0.6770925316625189
7.51	0.02	0.6688255086223082
7.53	0.02	0.6647959782988769
7.56	0.02	0.6584928218804367
7.58	0.02	0.6541285804084376
7.60	0.02	0.6495841640790435
7.62	0.02	0.6448645530385776
7.64	0.02	0.639975204298247
7.66	0.02	0.6351625497907742
7.68	0.02	0.6299431894232229
7.70	0.02	0.6247958569597919
7.74	0.02	0.6143822464810675
7.78	0.02	0.6054802915192289
7.81	0.02	0.5984899263621486
7.85	0.02	0.5887165560630806
7.87	0.02	0.5836419555383237
7.90	0.02	0.5785127418914112
7.93	0.02	0.5719622643963996
7.95	0.02	0.5674828329147983
7.98	0.02	0.560497957354705
8.00	0.02	0.5557055762533353
8.30	0.02	0.48524344050936713
8.48	0.02	0.447363749780964
8.60	0.02	0.4185700502045933
8.70	0.02	0.3921326296707877
8.78	0.02	0.3732581636717842
8.85	0.02	0.35537165825866973
8.90	0.02	0.34176164143844473
8.95	0.02	0.3263167498234223
9.00	0.02	0.3122487053620826
9.18	0.02	0.24908324578395058
9.30	0.02	0.21049866866249348
9.40	0.02	0.18290695285533776
9.48	0.02	0.16144238390715215
9.54	0.02	0.1457237106655532
9.60	0.02	0.1267411612314104
9.65	0.02	0.11220141594253875
9.70	0.02	0.09883899339624708
9.74	0.02	0.08844697601716096
9.78	0.02	0.07767691505333707
9.81	0.02	0.07036168615077745
9.85	0.02	0.06098021316750337
9.90	0.02	0.048840072181615894
9.95	0.02	0.0363626102216671
10.00	0.02	0.026205845728905556
10.04	0.02	0.014950932234021554
5.00	0.05	0.9928086085211504
5.48	0.05	0.990103423891519
5.70	0.05	0.9873982660522903
5.85	0.05	0.9849313216743434
6.00	0.05	0.980998982998282
6.10	0.05	0.9767754115261474
6.18	0.05	0.9736376054542741
6.24	0.05	0.9702689929425434
6.30	0.05	0.9647358099919564
6.35	0.05	0.9603964328537653
6.40	0.05	0.9522964380549421
6.44	0.05	0.9392894953358476
6.48	0.05	0.929785616363214
6.51	0.05	0.920936441153003
6.54	0.05	0.9077966246840589
6.57	0.05	0.8982405464028103
6.60	0.05	0.8907988374017329
6.63	0.05	0.8840565685352919
6.65	0.05	0.8799766422008191
6.68	0.05	0.8743495326470888
6.70	0.05	0.8718534304155503
6.72	0.05	0.8703828883441098
6.74	0.05	0.8692771763420605
6.76	0.05	0.8593124242227392
6.78	0.05	0.8521163445070729
6.81	0.05	0.8328446616568457
6.85	0.05	0.8098187474154517
6.86	0.05	0.808275647248438
6.88	0.05	0.8021070404267594
6.89	0.05	0.7990222352233558
6.90	0.05	0.7974788450900794
6.92	0.05	0.7912958321639354
6.93	0.05	0.788195883155426
6.94	0.05	0.7850883133543641
6.95	0.05	0.7819722506121081
6.97	0.05	0.7757067884962793
6.98	0.05	0.7725552768733419
6.99	0.05	0.7678011873742028
7.00	0.05	0.7647604257475913
7.04	0.05	0.7547224156554901
7.08	0.05	0.7448165520691186
7.11	0.05	0.7359700515761739
7.15	0.05	0.7247404311359861
7.18	0.05	0.7185219698372964
7.20	0.05	0.7142506544383074
7.23	0.05	0.707058475237206
7.26	0.05	0.7000072365329064
7.28	0.05	0.694800705166811
7.30	0.05	0.689649375346652
7.34	0.05	0.6789248724188878
7.38	0.05	0.6683109894895533
