log_age	Z	fraccion_M_star
6.85	0.008	0.9045991577406695
6.86	0.008	0.9035146302402705
6.88	0.008	0.8991591501660247
6.89	0.008	0.8969678055961445
6.90	0.008	0.8958684381551131
6.92	0.008	0.8914387011463364
6.93	0.008	0.8892036600585079
6.94	0.008	0.886952356929966
6.95	0.008	0.8846844999603958
6.97	0.008	0.8800919479883024
6.98	0.008	0.8777647475708631
6.99	0.008	0.8742311918382119
7.00	0.008	0.8718450788406394
7.04	0.008	0.8649320123253833
7.08	0.008	0.8586327590362145
7.11	0.008	0.8529937419352226
7.15	0.008	0.8454811065847604
7.18	0.008	0.839542469265435
7.20	0.008	0.8365684584939949
7.23	0.008	0.8315352659657558
7.26	0.008	0.826567731757399
7.28	0.008	0.8228747313234975
7.30	0.008	0.8192027882564377
7.34	0.008	0.8125056546204611
7.38	0.008	0.8067106627074967
7.41	0.008	0.8021292387973262
7.45	0.008	0.7955340036212076
7.48	0.008	0.7903549881847174
7.51	0.008	0.7847338553420623
7.53	0.008	0.780936768594356
7.56	0.008	0.7763894711177055
7.58	0.008	0.7735919715811573
7.60	0.008	0.7706815186888701
7.62	0.008	0.7676609927370758
7.64	0.008	0.7645328383046375
7.66	0.008	0.7614542309739353
7.68	0.008	0.7581165814562865
7.70	0.008	0.7548259515641104
7.74	0.008	0.7476385042556969
7.78	0.008	0.7414767423727494
7.81	0.008	0.7369853720330749
7.85	0.008	0.7307072232039794
7.87	0.008	0.7274479623706429
7.90	0.008	0.7226323167407357
7.93	0.008	0.7183174813204237
7.95	0.008	0.7153653285499718
7.98	0.008	0.7112936260987873
8.00	0.008	0.7081235094257958
8.30	0.008	0.6613036160334084
8.48	0.008	0.637189585116982
8.60	0.008	0.6178031272056485
8.70	0.008	0.6027396696847213
8.78	0.008	0.5906535714528058
8.85	0.008	0.5791800181533231
8.90	0.008	0.571421566217592
8.95	0.008	0.5635053517338537
9.00	0.008	0.5551387282415118
9.18	0.008	0.5052920246773971
9.30	0.008	0.4798137222597352
9.40	0.008	0.46361179701328337
9.48	0.008	0.4503623570683941
9.54	0.008	0.44962519078682234
9.60	0.008	0.43953364184000554
9.65	0.008	0.43316796401681396
9.70	0.008	0.42657046013337657
9.74	0.008	0.42105865983474083
9.78	0.008	0.41532744016772316
9.81	0.008	0.4109132932969403
9.85	0.008	0.4048451965147926
9.90	0.008	0.3970115165500326
9.95	0.008	0.38914336771064456
10.00	0.008	0.3814669913154125
10.04	0.008	0.3755705825155646
10.08	0.008	0.36967696458908
10.11	0.008	0.3651712858553703
10.12	0.008	0.3636584722513846
10.13	0.008	0.36213271400730185
10.14	0.008	0.3605983057011613
10.15	0.008	0.35905650694377494
10.18	0.008	0.35436970379771576
5.00	0.02	0.9995785438100571
5.48	0.02	0.9990874598122578
5.70	0.02	0.9985934276389319
5.85	0.02	0.9980733067055293
6.00	0.02	0.9971725759064417
6.10	0.02	0.9960336718734075
6.18	0.02	0.9950573440908734
6.24	0.02	0.9938729649548873
6.30	0.02	0.9918350527204464
6.35	0.02	0.9902207400997243
6.40	0.02	0.9874046260418876
6.44	0.02	0.984059307926699
6.48	0.02	0.981402548858446
6.51	0.02	0.976401233344704
6.54	0.02	0.9663168873727599
6.57	0.02	0.9588271547963434
6.60	0.02	0.9503210920626504
6.63	0.02	0.9421563802211783
6.65	0.02	0.9368560959710261
6.68	0.02	0.9304182696334357
6.70	0.02	0.9272807491338937
6.72	0.02	0.92417182924852
6.74	0.02	0.9185534897104678
6.76	0.02	0.9132793060103414
6.78	0.02	0.9110867518910388
6.81	0.02	0.90500398293866
6.85	0.02	0.8976200750859433
6.86	0.02	0.8963778578383432
6.88	0.02	0.8913596833577563
6.89	0.02	0.8888201778814256
6.90	0.02	0.8875419663534554
6.92	0.02	0.8823665202860674
6.93	0.02	0.8797389868989866
6.94	0.02	0.8770805613437594
6.95	0.02	0.8743892886686988
6.97	0.02	0.8697365767706341
6.98	0.02	0.8682713462938979
6.99	0.02	0.8660794247985641
7.00	0.02	0.8646213865129421
7.04	0.02	0.8573606971340239
7.08	0.02	0.8501096485363153
7.11	0.02	0.8435567438921938
7.15	0.02	0.8367372999700488
7.18	0.02	0.8320975097988136
7.20	0.02	0.8288869874290925
7.23	0.02	0.8234380431029101
7.26	0.02	0.8180407920052679
7.28	0.02	0.8142818216992153
7.30	0.02	0.8116263110673054
7.34	0.02	0.8061553424015082
7.38	0.02	0.8002878664421168
7.41	0.02	0.795650105896502
7.45	0.02	0.7889753353761468
7.48	0.02	0.7837349012060136
7.51	0.02	0.7784845012682181
7.53	0.02	0.77592949246014
7.56	0.02	0.7719390040385307
7.58	0.02	0.7691780991705665
7.60	0.02	0.766307310160359
7.62	0.02	0.7633295482883963
7.64	0.02	0.7602493935618666
7.66	0.02	0.7572185134254222
7.68	0.02	0.7539363448294031
7.70	0.02	0.7507032707429254
